radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.3830585,2.3859425,2.4408798,2.312077,26.885775999958675,0.043957416,0.0,7,1
2.3899739,2.3953345,2.5021236,2.277786,27.042744929080918,0.077429704,0.0,8,0
2.4428275,2.4461305,2.5402734,2.3313944,28.681455274362836,0.07119251,0.0,8,0
2.419158,2.4273348,2.6551836,2.331418,27.808360527326393,0.09748063,0.0,7,1
2.3980446,2.4057202,2.5875072,2.2773015,27.407991757208432,0.10820633,0.0,8,0
2.4017327,2.402088,2.484129,2.3018458,27.388183240396483,0.05985527,0.0,8,0
2.4236891,2.428907,2.4966614,2.3004587,28.017199122773917,0.05747433,0.0,8,0
2.3827662,2.389534,2.471235,2.3126411,26.748151844510243,0.055425838,0.0,7,1
2.3798654,2.3840497,2.4669201,2.2645297,26.525354624887452,0.06965049,0.0,8,0
2.3985312,2.4000788,2.5293515,2.2949061,27.393568892098642,0.07078006,0.0,7,1
2.3673327,2.3696983,2.5290875,2.296127,26.448867974414625,0.066889055,0.0,7,1
2.4130328,2.420306,2.600655,2.3045187,27.816008023987326,0.0985472,0.0,7,1
2.39466,2.3977022,2.5485098,2.3131146,27.194757183291767,0.076307215,0.0,8,0
2.416511,2.4188113,2.5485675,2.3062086,27.802613603435972,0.07493498,0.0,7,1
2.3861506,2.3925714,2.5675676,2.2693632,26.20497107817491,0.093768656,0.0,7,1
2.3961635,2.4031017,2.629564,2.258431,27.075114269439275,0.10521777,0.0,8,0
2.4036813,2.4060245,2.534184,2.3241541,27.382613419669518,0.060662396,0.0,7,1
2.4150035,2.4173574,2.5068474,2.268237,27.57601626505482,0.07289491,0.0,6,2
2.3834388,2.3891716,2.5332003,2.2338035,26.94906475950916,0.10067265,0.0,8,0
2.4142792,2.415338,2.5599616,2.279605,27.793876459113235,0.091262005,0.0,7,1
2.3810484,2.3823304,2.4405308,2.2997632,26.859274633325764,0.048115134,0.0,6,2
2.4292405,2.4300756,2.5508657,2.3401067,27.96583306759844,0.073056445,0.0,7,1
2.3824477,2.3844123,2.5330403,2.227398,26.82132261847886,0.09539668,0.0,8,0
2.3908257,2.3926783,2.5645657,2.2764223,26.985151120566368,0.09866582,0.0,7,1
2.4005418,2.407037,2.5336502,2.2847779,27.393128876283374,0.074440524,0.0,7,1
2.4220276,2.4268117,2.496678,2.3189845,27.9423292668027,0.06262561,0.0,6,2
2.3755608,2.3790483,2.509402,2.2869413,26.69465531780179,0.058278307,0.0,7,1
2.4148817,2.4229355,2.5816712,2.2699094,27.87692316984139,0.08346631,0.0,6,2
2.4228673,2.4294293,2.5104802,2.3220232,27.71937184681562,0.06461135,0.0,6,2
2.393622,2.3956609,2.513382,2.3446512,27.318091465483278,0.052353773,0.0,7,1
2.411516,2.4170475,2.6334968,2.2043817,27.02293909945888,0.11735121,0.0,6,2
2.3733866,2.3752937,2.4816525,2.2811663,25.99669471486468,0.055728704,0.0,7,1
2.5538743,2.5359015,3.7619414,2.2019532,32.7815163014207,0.4182132,0.0,7,1
2.4341395,2.4413738,2.6923597,2.2983491,28.141588619032433,0.11979617,0.0,7,1
2.609331,2.5841963,3.7927933,2.3064687,33.62389530111421,0.4424918,0.0,8,0
2.4371886,2.4423018,2.5801566,2.3274233,28.46406958014207,0.08323792,0.0,7,1
2.4091756,2.4107082,2.5188305,2.313783,27.737762433816986,0.059792195,0.0,7,1
2.4047873,2.4088602,2.590251,2.303345,27.01896515287784,0.09157188,0.0,7,1
2.420475,2.4273317,2.642367,2.2736084,27.90810111019456,0.1174669,0.0,8,0
2.3784006,2.3863418,2.5121524,2.250822,26.6698711897507,0.07263338,0.0,7,1
2.4055238,2.4067266,2.5877433,2.293118,27.2471761011907,0.088568255,0.0,8,0
2.4225428,2.4229417,2.6046507,2.3109527,27.892838797140318,0.09457882,0.0,8,0
2.40031,2.402739,2.4867845,2.3220901,27.253183844994734,0.04760521,0.0,7,1
2.40497,2.4090946,2.5138617,2.328284,27.48301364341347,0.06315747,0.0,8,0
2.406451,2.4107168,2.6034427,2.2785077,27.62226924667448,0.09358057,0.0,7,1
2.3884025,2.3972042,2.5292883,2.2357557,26.731760751202387,0.104411684,0.0,8,0
2.413673,2.4128623,2.494915,2.2332482,27.683257174173416,0.076769054,0.0,7,1
2.3997996,2.4041078,2.5069895,2.322093,27.13300776510731,0.054063592,0.0,7,1
2.3957222,2.4012823,2.5552096,2.2461956,27.035202562816515,0.08856106,0.0,7,1
2.3908727,2.3911362,2.519267,2.2941284,27.127576356529776,0.07579683,0.0,7,1
2.388201,2.3985646,2.5120134,2.2665827,26.744277756279217,0.080129534,0.0,7,1
2.4324834,2.4323857,2.6507003,2.3205388,28.53651866004228,0.103025734,0.0,7,1
2.4247088,2.4255023,2.5426543,2.292359,28.246949096742526,0.0790823,0.0,8,0
2.4011464,2.4129686,2.5896316,2.247865,27.120006563432373,0.112119354,0.0,7,1
2.3907115,2.3917985,2.6224232,2.292639,27.099478430444787,0.08875971,0.0,7,1
2.4054508,2.4087415,2.4975567,2.3078966,27.695526606589723,0.07094298,0.0,7,1
2.4443219,2.4474354,2.6576312,2.254528,28.71006419308876,0.10757347,0.0,7,1
2.393278,2.4012172,2.5512736,2.289563,26.97794948304871,0.07262804,0.0,7,1
2.4188075,2.424832,2.5668833,2.30673,28.061468321510553,0.088588424,0.0,7,1
2.4079874,2.4183135,2.5608392,2.3389094,27.899499425900945,0.062136166,0.0,7,1
2.3875165,2.3898656,2.5133827,2.2618802,27.02576561651207,0.078872636,0.0,7,1
2.3793573,2.3814352,2.491345,2.3068168,26.827282455351835,0.053978086,0.0,7,1
2.4209704,2.4232635,2.5019586,2.3614423,28.023031046367194,0.039944537,0.0,7,1
2.3932881,2.3972151,2.5453885,2.2774134,26.975565375405296,0.07574998,0.0,8,0
2.3764067,2.3799949,2.4633727,2.2853222,26.624365143410348,0.056478698,0.0,8,0
2.3945827,2.4010172,2.5131276,2.2408893,27.11117720532374,0.077212535,0.0,8,0
2.4162993,2.42274,2.7158246,2.233518,27.864206596921257,0.12835915,0.0,7,1
2.3755038,2.3780987,2.5038164,2.302281,26.662436320068633,0.061114125,0.0,8,0
2.420179,2.42896,2.5852664,2.290634,27.939947291315026,0.10119085,0.0,8,0
2.421201,2.42797,2.5838146,2.2936864,27.874619280871194,0.086444296,0.0,7,1
2.3764462,2.3861024,2.5701375,2.2533505,26.454145875217154,0.09269028,0.0,7,1
2.4232461,2.4324813,2.5699422,2.2570992,27.872145463166095,0.099224575,0.0,8,0
2.4455142,2.4484274,2.8701756,2.2937512,28.81473253407898,0.16432771,0.0,7,1
2.4003406,2.4065955,2.6132104,2.304321,27.61113781137645,0.10080875,0.0,7,1
2.4090145,2.4144468,2.5891504,2.2588933,27.439608019386636,0.10045686,0.0,7,1
2.3916988,2.391575,2.494656,2.2759633,26.831400027554963,0.07639193,0.0,7,1
2.4079003,2.4146795,2.5612707,2.3238328,27.511861137443518,0.07417633,0.0,7,1
2.4162717,2.4196172,2.5730538,2.2637591,27.54633015303908,0.101911366,0.0,7,1
2.3842938,2.3889816,2.5472531,2.2586958,26.651905714145794,0.078269236,0.0,8,0
2.397207,2.397466,2.5892482,2.2906322,27.132943782681643,0.10193026,0.0,7,1
2.3794205,2.3846745,2.5097222,2.2821693,26.559540869223305,0.07522487,0.0,7,1
2.4221816,2.429936,2.6605685,2.3022344,27.964779695800324,0.1118653,0.0,7,1
2.4070656,2.4221523,2.765524,2.2525518,27.31523662104949,0.14407581,0.0,7,1
2.3817284,2.3831336,2.4717805,2.3195038,26.803004101233004,0.05266294,0.0,7,1
2.4098573,2.4192553,2.6182065,2.2152448,27.509239163689735,0.118861176,0.0,8,0
2.4074743,2.4089005,2.4742067,2.320819,27.388936030911854,0.048024334,0.0,7,1
2.4287877,2.4295454,2.499381,2.341347,28.31391279422691,0.04279114,0.0,8,0
2.397874,2.404622,2.5804079,2.273015,27.514819562534292,0.10813537,0.0,7,1
2.4365346,2.444477,2.5790496,2.2787952,28.651860082696633,0.09625112,0.0,8,0
2.432054,2.4382064,2.5776556,2.3138688,28.499295401819165,0.08599305,0.0,8,0
2.3851347,2.3879485,2.4748545,2.2958012,26.774384644547688,0.056691896,0.0,8,0
2.4010813,2.407663,2.659532,2.3238983,27.241249293195857,0.095998704,0.0,8,0
2.398332,2.4090905,2.5251763,2.263647,27.342245581450047,0.08601161,0.0,8,0
2.4009738,2.4020872,2.5667493,2.2824976,27.384113947497987,0.08484557,0.0,8,0
2.4255302,2.4258707,2.5711675,2.3138292,27.692059877866114,0.08885462,0.0,7,1
2.402655,2.4063525,2.569202,2.2928388,27.693952212724916,0.07839144,0.0,7,1
2.4006724,2.4159298,2.5947852,2.3009129,27.377949401319615,0.09824839,0.0,7,1
2.41268,2.4143617,2.54641,2.312662,27.76747320625897,0.069230564,0.0,8,0
2.381295,2.3904388,2.5331602,2.267265,26.951933267408606,0.08895359,0.0,7,1
2.4060743,2.408677,2.497379,2.3289058,27.316499415329666,0.062360648,0.0,7,1
2.3654175,2.3711221,2.4965189,2.2579885,26.168094222725987,0.06826063,0.0,8,0
2.4019766,2.4060655,2.5137436,2.273543,27.138882093141053,0.079973124,0.0,7,1
2.4016979,2.406251,2.4952135,2.2489765,27.228574165977843,0.080138505,0.0,8,0
2.4078157,2.4082289,2.504277,2.3416665,27.61585764596061,0.05076283,0.0,7,1
2.388534,2.3911698,2.5156317,2.2681706,27.033408096134018,0.064261846,0.0,8,0
2.419395,2.4203746,2.5277278,2.3140655,27.23171428471896,0.071716204,0.0,8,0
2.408603,2.4107187,2.5442073,2.2966049,27.30189458619391,0.07521646,0.0,8,0
2.3957324,2.3994434,2.5048761,2.3210967,27.003076254712834,0.057895493,0.0,8,0
2.4188578,2.4292588,2.5574038,2.2772129,27.969426188475037,0.08480983,0.0,8,0
2.4015217,2.411933,2.5690858,2.2304265,27.601033397656156,0.0895617,0.0,8,0
2.4246113,2.4310284,2.6360755,2.3247151,28.388534594982723,0.08130769,0.0,7,1
2.4219449,2.4281204,2.6494734,2.3399792,27.803487783924993,0.09916772,0.0,8,0
2.4054909,2.4054751,2.5192442,2.346914,27.435198354350533,0.06515093,0.0,7,1
2.3789546,2.3823738,2.480222,2.296564,26.74257554175506,0.069643304,0.0,7,1
2.3918421,2.4069784,2.5891094,2.2521317,27.04031399520474,0.0966646,0.0,7,1
2.3634171,2.3690012,2.548844,2.2700014,26.15771367654017,0.081314676,0.0,8,0
2.4246995,2.4297223,2.594266,2.3043451,28.20206147768243,0.081004284,0.0,7,1
2.3910246,2.3976636,2.471112,2.2944727,27.135656066463536,0.06297006,0.0,8,0
2.409127,2.413207,2.5015824,2.3324213,27.744555124210947,0.0496783,0.0,8,0
2.4054077,2.4069338,2.5050933,2.2972598,27.68119731667093,0.06265457,0.0,7,1
2.4036837,2.4071705,2.562987,2.3269086,27.4223921350843,0.066235274,0.0,7,1
2.3969111,2.4023502,2.5528207,2.2677968,27.32696959174867,0.089158535,0.0,7,1
2.3735096,2.374836,2.4757597,2.3119054,26.743068541298772,0.054359104,0.0,8,0
2.3990908,2.405718,2.5828073,2.311796,27.353631786259132,0.083436675,0.0,8,0
2.4146597,2.4163878,2.5273082,2.26462,27.88341031078031,0.09220819,0.0,8,0
2.3816013,2.3851953,2.418387,2.3515327,26.792696296162113,0.022893377,0.0,8,0
2.4051218,2.4080045,2.5007815,2.3476343,27.56739173503541,0.04784158,0.0,8,0
