radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.5689929,2.5587296,3.785618,2.3442478,32.14387555366368,0.4178321,0.0,8,0
2.4429,2.4421253,2.5647995,2.3432252,27.736913282695674,0.07531382,0.0,7,1
2.428696,2.430549,2.542342,2.2862625,27.1457855873057,0.08742887,0.0,8,0
2.5689385,2.5563457,3.795168,2.2529075,31.570668848325614,0.42632794,0.0,8,0
2.55083,2.5439796,3.712332,2.2731483,31.153591130741262,0.39839277,0.0,8,0
2.5229113,2.52113,3.52342,2.3122725,30.66877268082898,0.3406044,0.0,8,0
2.5084436,2.5104017,3.4593375,2.2576315,29.88099721940357,0.32513794,0.0,8,0
2.5508957,2.5569096,3.7794318,2.2924435,30.559258958027364,0.42028975,0.0,8,0
2.5742664,2.5792313,3.7895792,2.3093069,32.830371028702245,0.41831586,0.0,8,0
2.5644383,2.554709,3.5431776,2.2728631,32.97336290765988,0.33806068,0.0,7,1
2.5450728,2.544361,3.4970407,2.2786841,30.943995708314905,0.34456584,0.0,7,1
2.54654,2.541267,3.6112194,2.3190095,31.297085920956956,0.36431247,0.0,8,0
2.5356076,2.537341,3.5871158,2.3003926,31.2512309659568,0.35656568,0.0,7,1
2.562792,2.553226,3.7165854,2.2846448,31.808671317102153,0.4040144,0.0,8,0
2.5571861,2.564469,3.708718,2.3602984,31.657737004478438,0.38946882,0.0,8,0
2.5645342,2.558747,3.7409768,2.2764235,31.91186167718583,0.4066495,0.0,8,0
2.5455062,2.5385725,3.6949944,2.2530437,31.380987637620606,0.39317524,0.0,7,1
2.550054,2.5419974,3.5432894,2.2966704,31.70316062265817,0.35855514,0.0,7,1
2.5443652,2.5496392,3.6597025,2.3041914,30.80664301187692,0.37966242,0.0,7,1
2.5404522,2.551778,3.5681112,2.2911336,31.072612354770815,0.35687578,0.0,7,1
2.4079518,2.4097946,2.5354686,2.33017,26.994880265503127,0.07328773,0.0,7,1
2.5546339,2.5510375,3.5973592,2.2914863,31.60750099769811,0.3670909,0.0,6,2
2.5577972,2.5478544,3.6846983,2.3255317,31.620745335572604,0.3835334,0.0,8,0
2.5721626,2.5590205,3.6935203,2.2366717,32.844448729926185,0.38960853,0.0,7,1
