radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.4580884,2.4550123,2.7479808,2.302759,27.578566368290204,0.14792138,0.0,7,1
2.4408598,2.441951,2.6181877,2.3321443,28.23433016648046,0.10142361,0.0,7,1
2.560378,2.5592475,3.615979,2.2944722,30.976175619135184,0.3675227,0.0,8,0
2.5466905,2.5513263,3.650794,2.3686497,32.170926490679484,0.36946383,0.0,7,1
2.593459,2.5920725,3.77967,2.291615,33.16446709667104,0.41433156,0.0,7,1
2.5412552,2.547643,3.636372,2.2703745,30.327194580357375,0.3759488,0.0,8,0
2.427848,2.4299903,2.5306325,2.3216808,27.382871869502043,0.05569791,0.0,8,0
2.4576213,2.4537458,2.757971,2.2119904,27.371477332712573,0.15043953,0.0,8,0
2.533509,2.5275483,3.4004848,2.3003044,32.204237132381415,0.29905197,0.0,7,1
2.4352736,2.4345257,2.576353,2.314411,27.689050779721416,0.09169174,0.0,8,0
2.556179,2.54427,3.633332,2.207374,31.89883845546283,0.3950589,0.0,8,0
2.5399628,2.5253944,3.779432,2.2714093,31.40968499281606,0.42714533,0.0,8,0
2.5290637,2.520804,3.576451,2.240893,30.88344699233838,0.35733727,0.0,8,0
2.454483,2.4534354,2.5810466,2.3072717,27.870840995067358,0.09219092,0.0,7,1
2.5549572,2.5530422,3.494654,2.247733,32.11879290479052,0.3315395,0.0,8,0
2.4302883,2.43029,2.6503587,2.2914195,26.27757059190732,0.12579194,0.0,8,0
2.421414,2.4228127,2.6067991,2.3236825,26.689628309483602,0.084004536,0.0,8,0
2.565322,2.5608716,3.5548425,2.3056664,32.07423442803533,0.36740485,0.0,8,0
2.421216,2.4234374,2.561328,2.2797139,26.166998729991278,0.09846318,0.0,8,0
2.5673883,2.5567238,3.7422717,2.238347,32.90897343784241,0.40750885,0.0,8,0
2.4246142,2.4262214,2.5837574,2.2942972,26.83597491121096,0.081553325,0.0,7,1
2.410012,2.4098332,2.601559,2.286417,26.364507412532724,0.097771734,0.0,8,0
2.551002,2.5485933,3.7473462,2.3115788,32.376324411883424,0.41093108,0.0,8,0
2.423824,2.4250603,2.5811045,2.2940135,27.342890913325917,0.08263065,0.0,7,1
2.4471734,2.4458487,2.7264643,2.2777824,27.882576215465896,0.13646959,0.0,8,0
2.5218866,2.5236447,3.2859406,2.2929037,31.671127007454043,0.26536873,0.0,8,0
2.5427747,2.5546598,3.711576,2.283353,30.687908733675087,0.40576196,0.0,7,1
2.5508642,2.5523481,3.5468442,2.2608182,31.605869674399536,0.35517374,0.0,6,2
2.565803,2.5667362,3.6213415,2.3624585,32.157805222688104,0.35831237,0.0,6,2
