Method, ww_15REE, , , , , , , , , , , , , , 
Sample, Type, Ce 413.38, Dy 394.468, Er 369.265, Eu 290.668, Gd 310.05, Ho 339.898, La 333.749, Lu 219.554, Nd 401.225, Pr 417.939, Sm 359.26, Tb 350.917, Tm 395.81, Yb 218.571
Rub13-H2O, rep,1.1709,1.654,1.387,3.114,2.317,1.3146,0.64,1.196,2.164,1.7184,2.787,1.863,1.1988,1.241
Rub19-H2O, rep,1.718,2.3491,1.87,5.352,3.644,1.7881,0.974,1.511,3.253,2.5512,5.86,2.75,1.5838,1.639
Buffer, rep,-0.0577,0.0289,0.10227,-0.1372,-0.15159,0.041,0.0175,0.02597,0.0044,0.0184,-0.2589,0.0083,-0.0491,-0.1407
Rub9-H2O, rep,-0.0556,0.03363,0.1069,-0.1206,-0.14057,0.0429,0.01742,0.0401,0.0096,0.0228,-0.2351,0.0158,-0.0534,-0.1291
Rub10-H2O, rep,-0.0617,0.0301,0.10569,-0.0756,-0.1386,0.039,0.0167,0.0332,0.0121,0.0247,-0.1652,0.0162,-0.0533,-0.157
Rub11-H2O, rep,-0.04485,0.06549,0.14378,-0.0351,-0.0947,0.0632,0.02534,0.0979,0.0568,0.0506,-0.1268,0.0503,-0.01,-0.093
Rub12-H2O, rep,-0.0551,0.0637,0.12245,0.412,-0.0018,0.0565,0.01794,0.0625,0.1841,0.0892,0.4859,0.0872,-0.0223,-0.1126
Rub13-H2O, rep,0.56331,0.9516,0.8416,2.256,1.4255,0.6833,0.1961,0.6256,1.4047,1.0806,2.578,1.16,0.5628,0.5168
Rub19-H2O, rep,1.4013,1.9813,1.855,4.406,3.025,1.499,0.7147,1.446,2.813,2.185,5.172,2.361,1.2886,1.317
,,,,,,,,,,,,,,,
Method, ww_15REE, , , , , , , , , , , , , , 
Sample, Type, Ce 413.38, Dy 394.468, Er 369.265, Eu 290.668, Gd 310.05, Ho 339.898, La 333.749, Lu 219.554, Nd 401.225, Pr 417.939, Sm 359.26, Tb 350.917, Tm 395.81, Yb 218.571
 , , mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L, mg/L
Rub9-ATC, rep,-0.0525,0.04977,0.12468,-0.0531,-0.1174,0.0528,0.0196,0.075,0.0288,0.0394,-0.1517,0.0362,-0.0198,-0.1086
Rub10-ATC, rep,-0.0481,0.0698,0.12547,0.1907,-0.026,0.06606,0.02038,0.0606,0.0996,0.0699,0.156,0.0828,-0.01685,-0.11414
Rub11-ATC, rep,-0.0448,0.0669,0.1388,-0.0211,-0.0942,0.0673,0.0212,0.0839,0.04832,0.0526,-0.1392,0.0542,-0.0105,-0.078
Rub12-ATC, rep,-0.0164,0.1459,0.1708,0.4001,0.1257,0.1058,0.02403,0.1268,0.2498,0.1601,0.4339,0.1854,0.0322,-0.0555
Rub13-ATC, rep,1.638,2.409,1.8817,4.389,3.298,1.766,0.5873,1.585,3.338,2.649,4.996,2.857,1.5245,1.4175
Rub19-ATC, rep,3.135,4.18,3.438,8.984,6.649,3.189,1.713,2.837,5.536,4.516,8.65,4.8865,2.832,3.117
Buffer, rep,-0.05238,0.0295,0.1038,-0.13726,-0.1505,0.0361,0.01846,0.0326,0.0063,0.0204,-0.2556,0.0114,-0.0417,-0.1427
Rub9-ATC, rep,-0.0808,0.0384,0.1185,-0.0825,-0.1218,0.0312,0.01822,0.0584,0.0084,0.0072,-0.2062,0.02738,-0.0604,-0.0998
Rub10-ATC, rep,-0.0669,0.045741,0.1158,0.0483,-0.09,0.0489,0.01821,0.0533,0.0395,0.0313,-0.018,0.04192,-0.0475,-0.1232
Rub11-ATC, rep,-0.0606,0.0545,0.13359,-0.0691,-0.1141,0.0597,0.01974,0.0792,0.02992,0.034,-0.17,0.0402,-0.0294,-0.101
Rub12-ATC, rep,-0.0305,0.1082,0.1573,0.2445,0.0207,0.0827,0.02243,0.1143,0.1562,0.10502,0.2632,0.1233,0.0156,-0.0687
Rub13-ATC, rep,1.349,2.081,1.727,4.43,3.17,1.458,0.3945,1.354,3.011,2.335,5.157,2.531,1.2586,1.354
Rub19-ATC, rep,3.095,4.186,3.89,7.564,6.014,3.1918,1.625,2.928,5.458,4.4362,9.07,4.86,2.847,2.886
