radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.398626,2.4512887,2.5064921,2.37733,19.70504957821924,0.050724916,0.1111111111111111,6,2
2.4706235,2.4688993,2.8147836,2.2971504,31.76199675395295,0.13991863,0.0,7,1
2.4526775,2.4522233,2.6079307,2.308311,30.78525438253307,0.08775925,0.0,8,0
2.3199227,2.4647968,2.587933,2.384827,13.945613495590331,0.06294807,0.2222222222222222,6,2
2.4651365,2.4629414,2.756247,2.2975845,31.250984074277753,0.12641071,0.0,8,0
2.3656654,2.4279244,2.5143802,2.3088734,20.596945957675203,0.05486254,0.1111111111111111,6,2
2.4181511,2.4362335,2.5767033,2.3006306,26.270562974589772,0.094041064,0.0,8,0
2.371789,2.4344075,2.580272,2.311732,20.251777230393174,0.094125524,0.1111111111111111,6,2
2.4565535,2.471263,2.59488,2.379518,27.809308449495635,0.0687674,0.0,8,0
2.462186,2.460794,2.6878428,2.3382483,32.15622982324197,0.0962594,0.0,8,0
2.436413,2.4356124,2.6774807,2.2865477,31.160327696339515,0.09789907,0.0,8,0
2.479423,2.479869,2.587354,2.35595,32.558411742458745,0.071712434,0.0,8,0
2.4759278,2.4760456,2.5907726,2.324673,32.54192363943357,0.07237969,0.0,8,0
2.445037,2.4459434,2.584357,2.3282814,31.535744544390337,0.07377649,0.0,8,0
2.4633193,2.4623783,2.5510375,2.3384392,31.790783909846468,0.070094824,0.0,7,1
2.459248,2.4590592,2.5730345,2.3488066,31.793375914581453,0.06736971,0.0,8,0
2.47023,2.4708111,2.7053666,2.3690934,31.864100845752255,0.08897248,0.0,6,2
2.4304428,2.43155,2.5203378,2.2606418,30.822835600538067,0.074053824,0.0,8,0
2.4426517,2.4413226,2.6449199,2.291966,30.674257914400798,0.094894364,0.0,7,1
2.4504743,2.44832,2.7411492,2.3243928,30.915453943147266,0.10635174,0.0,7,1
2.4714632,2.4717317,2.5641177,2.390502,32.12663395379278,0.057897385,0.0,7,1
2.4647088,2.465098,2.7320495,2.3775206,31.83524893379478,0.09901884,0.0,7,1
2.4869082,2.4859607,2.7242253,2.3612285,32.689155832300116,0.11283299,0.0,8,0
2.4452434,2.4447222,2.6062229,2.298979,31.237085346991506,0.10431809,0.0,7,1
2.433625,2.43302,2.6430655,2.2853656,30.399824222077527,0.09738718,0.0,8,0
2.518153,2.5108852,3.450696,2.1910045,31.615061077806978,0.33078057,0.0,8,0
2.4542942,2.4520113,2.7640936,2.3596823,31.454621610398704,0.11407104,0.0,8,0
2.449418,2.4508395,2.6348066,2.3488078,31.02118394108717,0.08172135,0.0,8,0
2.4656453,2.4665403,2.607029,2.2947993,31.61713644496777,0.097052075,0.0,8,0
2.4758332,2.4740555,2.6539793,2.3251023,32.007986999485794,0.101043805,0.0,8,0
2.4504077,2.4496694,2.5702522,2.3527417,31.52736928037769,0.06566925,0.0,7,1
2.4411259,2.441653,2.4912055,2.356142,30.763671147423356,0.0368725,0.0,7,1
2.4558842,2.456873,2.601349,2.2961056,31.27107352118691,0.09522442,0.0,8,0
