radius_of_gyration,mean_coord_distance,max_coord_distance,min_coord_distance,binding_site_volume,asymmetry,accessibility_score,occupied_octants,empty_octants
2.4063132,2.4055119,2.577478,2.2956715,27.568186161703903,0.07841664,0.0,8,0
2.4562974,2.4541223,2.644787,2.299932,29.163153713724,0.114517786,0.0,8,0
2.4174228,2.419634,2.5862708,2.2674026,27.77411625275281,0.09125946,0.0,7,1
2.4169116,2.4159706,2.6426895,2.2505784,28.124077122615976,0.111339614,0.0,7,1
2.4159043,2.4163525,2.6679769,2.264928,27.81612704416458,0.11727597,0.0,7,1
2.427137,2.4257202,2.630191,2.2970846,28.178562728672734,0.10129002,0.0,7,1
2.4158251,2.41612,2.7011497,2.257632,27.76389354712057,0.12721919,0.0,7,1
2.4246018,2.4250126,2.540293,2.2907193,28.246722400648224,0.09237573,0.0,7,1
2.4625268,2.4619212,2.7017422,2.2969096,29.537723045539106,0.12917946,0.0,7,1
2.4273858,2.426529,2.559961,2.2721362,28.378469994269988,0.0893967,0.0,7,1
2.4083722,2.4115002,2.5749738,2.3174129,27.777684851326477,0.07024415,0.0,7,1
2.4431536,2.4417748,2.5824616,2.3382888,28.570775496550432,0.0897164,0.0,7,1
2.4937148,2.492669,2.7106447,2.3027177,30.347369500591597,0.100200824,0.0,7,1
2.3905056,2.3891668,2.572586,2.2177937,26.935935602812023,0.10756735,0.0,7,1
2.4555006,2.4538457,2.7776973,2.3064046,29.15919839002784,0.136257,0.0,7,1
2.4295466,2.4309072,2.6459212,2.2665174,28.550469755218383,0.10789903,0.0,7,1
2.4043658,2.404928,2.5074506,2.3022368,27.35167326651481,0.07357424,0.0,7,1
2.41979,2.4193964,2.5028589,2.288801,28.072310385498035,0.080000974,0.0,7,1
2.452497,2.4517314,2.6336825,2.3006291,28.88183897737436,0.10506566,0.0,7,1
2.4301412,2.4305556,2.6017487,2.2961938,28.387180453725392,0.101275,0.0,7,1
2.4160125,2.415796,2.5526848,2.2801104,27.78253298707642,0.079104535,0.0,7,1
2.4371057,2.4357276,2.7442489,2.2331367,27.99089846857055,0.13858359,0.0,7,1
2.416358,2.4191794,2.6084836,2.293689,27.617011286209646,0.09784774,0.0,7,1
2.4162002,2.416609,2.516088,2.2913976,28.11845375670957,0.07582313,0.0,7,1
2.4043877,2.4051068,2.5562825,2.298043,27.447899438119176,0.080104336,0.0,7,1
2.4192932,2.4377985,2.613539,2.3319285,20.85562265998392,0.09211823,0.1111111111111111,6,2
2.3734407,2.3937001,2.5493948,2.2634907,23.019490954763835,0.09570955,0.1111111111111111,7,1
2.4170492,2.4335265,2.6415904,2.313979,22.99718907971474,0.09872448,0.1111111111111111,6,2
1.5953339,2.4088595,2.5383832,2.2940142,58.54947623813408,0.1003017,0.6666666666666666,2,6
1.6145858,2.3954947,2.5425537,2.3001301,57.580343582853054,0.10550363,0.6666666666666666,2,6
1.6365696,2.375867,2.4200416,2.3015425,56.17653201327773,0.052866284,0.6666666666666666,2,6
1.634026,2.4197605,2.481147,2.3814695,59.34795243720732,0.043847997,0.6666666666666666,3,5
2.2517989,2.442012,2.7083752,2.2634935,7.739232604865972,0.15980135,0.4444444444444444,4,4
2.0204115,2.4418597,2.5199378,2.3933458,2.9259377004154223,0.05162723,0.5555555555555556,4,4
2.3477128,2.421872,2.5721748,2.3281105,18.339004072156705,0.09526205,0.2222222222222222,6,2
2.3799314,2.3815832,2.5104012,2.2682378,26.64468058127941,0.07399298,0.0,6,2
2.4096928,2.4113286,2.6073377,2.2652605,27.61060209741268,0.10314806,0.0,8,0
2.3977325,2.4630756,2.6384087,2.3251019,18.226283088974498,0.10281124,0.2222222222222222,7,1
2.4156678,2.4176393,2.5237668,2.3334317,27.984372048141932,0.06385897,0.0,7,1
2.3989944,2.4332738,2.5456235,2.3421786,20.87113546234777,0.0580331,0.1111111111111111,6,2
2.3701308,2.4502635,2.6211812,2.3230581,17.969763079532736,0.09438072,0.2222222222222222,6,2
2.179669,2.386841,2.5151753,2.2784872,9.954996037824092,0.091610886,0.3333333333333333,4,4
2.2346845,2.4106567,2.5688088,2.2643754,11.027327524301548,0.10636829,0.3333333333333333,5,3
2.1514187,2.4686792,2.7216372,2.2630515,5.524822356091837,0.1484105,0.4444444444444444,4,4
2.2534227,2.4868214,2.9040325,2.3586857,11.037779437523369,0.19412509,0.3333333333333333,4,4
2.2237265,2.4027615,2.5908487,2.237164,9.620490254395442,0.12466507,0.3333333333333333,4,4
2.2566957,2.4077995,2.5441895,2.3079643,12.648243957861396,0.08398406,0.3333333333333333,5,3
2.280744,2.4319088,2.5911777,2.2783768,11.738958134162353,0.114179276,0.3333333333333333,4,4
2.4170382,2.4145644,2.6872108,2.235576,27.418222751894422,0.12975408,0.0,8,0
2.387251,2.412152,2.6043367,2.2209451,20.77494408796956,0.10467611,0.1111111111111111,6,2
2.1120114,2.4824827,2.887627,2.331116,6.312077807687985,0.20541167,0.4444444444444444,5,3
2.268699,2.486616,2.7806637,2.3124008,12.406309182122872,0.15749316,0.3333333333333333,6,2
2.148739,2.430737,2.5345218,2.35266,6.063565027597348,0.07553001,0.4444444444444444,4,4
2.1500905,2.4142632,2.549475,2.3100028,6.203241455317248,0.07774445,0.4444444444444444,4,4
2.1138723,2.401586,2.4884741,2.3162677,4.887339548893292,0.073496334,0.4444444444444444,5,3
2.4024389,2.4154925,2.6978736,2.296913,23.786681716626855,0.12961476,0.1111111111111111,7,1
2.1353564,2.443652,2.5373638,2.3197627,5.052715420361243,0.08349115,0.4444444444444444,4,4
2.1942317,2.3781073,2.4944344,2.2111785,10.01238847775264,0.08840496,0.3333333333333333,5,3
2.3954523,2.409328,2.5600796,2.3116043,23.719238621291993,0.08194187,0.1111111111111111,7,1
2.3585181,2.3984194,2.5051355,2.2830012,22.551336954120348,0.0814906,0.1111111111111111,7,1
1.8583165,2.4106574,2.46822,2.3288856,0.3289474511581979,0.05371278,0.5555555555555556,3,5
1.7035648,2.5335515,2.827201,2.284076,68.12049514521331,0.22391911,0.6666666666666666,2,6
2.2610135,2.3950465,2.465541,2.265081,11.02364641858979,0.07188028,0.3333333333333333,5,3
2.0944822,2.3944917,2.5522544,2.309762,5.71212082668203,0.09834791,0.4444444444444444,4,4
1.866631,2.450418,2.5464714,2.3731408,0.3813741708968987,0.063473694,0.5555555555555556,3,5
2.0740693,2.387711,2.5450528,2.3025649,4.995474102892316,0.0963153,0.4444444444444444,5,3
2.2841914,2.4284194,2.533084,2.301194,12.74226639265989,0.09171857,0.3333333333333333,6,2
2.1122596,2.4508326,2.664604,2.3177767,4.593274639260152,0.12245303,0.4444444444444444,4,4
2.2928865,2.4686644,2.6461475,2.3717093,11.612242659186652,0.09199707,0.3333333333333333,6,2
2.2708669,2.4335496,2.659079,2.276973,11.828166590311259,0.13911736,0.3333333333333333,6,2
2.131094,2.4083295,2.4891958,2.325705,5.195373283594252,0.07121069,0.4444444444444444,4,4
2.0174372,2.3831134,2.5206938,2.2967377,5.082252653319569,0.07916675,0.4444444444444444,5,3
2.438211,2.450352,2.805373,2.2772386,24.674662165299807,0.1847412,0.1111111111111111,7,1
2.0234914,2.4328656,2.5485697,2.3104577,2.9577452740041426,0.087588795,0.5555555555555556,4,4
1.8791195,2.4823472,2.6667023,2.3403172,64.07316998133287,0.13656591,0.6666666666666666,3,5
1.7364081,2.389993,2.4384832,2.3539965,57.184518702105876,0.03560497,0.6666666666666666,3,5
2.1199057,2.4279726,2.5690868,2.2701104,5.812768365626062,0.10438382,0.4444444444444444,5,3
1.9626684,2.42583,2.546743,2.3481066,2.2943211752974206,0.07983193,0.5555555555555556,4,4
2.0000138,2.3625014,2.5138998,2.2850163,3.1126387880874984,0.09305581,0.5555555555555556,4,4
2.2236285,2.3868816,2.5021217,2.2903917,10.436296178463039,0.0917157,0.3333333333333333,5,3
2.4100807,2.421587,2.675482,2.2870479,23.86027798478236,0.1204206,0.1111111111111111,8,0
2.2505517,2.4254587,2.6114712,2.2805705,10.92390711309418,0.11908208,0.3333333333333333,5,3
2.2557664,2.4322278,2.675893,2.2744443,10.739565532191216,0.13261537,0.3333333333333333,6,2
2.2657363,2.4302409,2.5387602,2.260202,10.018841708904572,0.101565294,0.3333333333333333,6,2
1.6772519,2.3964932,2.47251,2.3361924,57.65237601390132,0.056750197,0.6666666666666666,3,5
2.3317928,2.4253557,2.5811245,2.28965,15.934507276625506,0.0847361,0.2222222222222222,6,2
2.2324753,2.3840315,2.510996,2.298479,8.626915748481556,0.068369165,0.3333333333333333,5,3
2.415161,2.4153247,2.6156075,2.3249083,27.826344308967244,0.079725,0.0,8,0
2.3616464,2.3766372,2.527311,2.2708123,21.544884660973835,0.08422757,0.1111111111111111,8,0
2.4315155,2.4309042,2.674977,2.260023,28.067133181104143,0.12154108,0.0,8,0
2.4089735,2.4119253,2.5805807,2.2578504,27.60636265254014,0.09850043,0.0,8,0
2.41505,2.4152646,2.6086392,2.2822363,27.885039567691855,0.09241524,0.0,8,0
2.3383763,2.4036515,2.558377,2.326928,16.76520338545164,0.0760796,0.2222222222222222,7,1
2.339596,2.4030807,2.5467825,2.2955618,16.809464055191516,0.07976435,0.2222222222222222,7,1
2.2635229,2.3812542,2.491626,2.2763805,13.003427950640674,0.07126492,0.3333333333333333,6,2
2.4076073,2.4091043,2.664695,2.2611926,27.366953203736927,0.1088161,0.0,8,0
2.4122534,2.4123402,2.5448582,2.278311,27.729217675247465,0.09301632,0.0,8,0
2.4194026,2.4182005,2.6260428,2.2825642,27.788098864300174,0.10542552,0.0,8,0
2.4117744,2.4108577,2.550157,2.2616158,27.628681595432436,0.09207693,0.0,8,0
2.4020486,2.4032428,2.5743737,2.2409601,27.363869133050862,0.0954638,0.0,8,0
2.3872406,2.4000485,2.4974594,2.2931864,22.047279128665284,0.073520675,0.1111111111111111,8,0
2.3848727,2.399073,2.5682101,2.2979555,22.878198717026784,0.07921602,0.1111111111111111,8,0
2.1917503,2.433337,2.5307899,2.3699362,5.90422876837122,0.06397176,0.4444444444444444,5,3
2.099977,2.446999,2.7642343,2.3206453,5.971223563965078,0.16091475,0.4444444444444444,4,4
2.273324,2.4358957,2.6097128,2.2823443,11.87960680329363,0.1123769,0.3333333333333333,5,3
2.0615506,2.399354,2.674773,2.246707,5.590742356846493,0.14656621,0.4444444444444444,4,4
1.976732,2.3808908,2.493633,2.266053,2.1594324288059537,0.08737908,0.5555555555555556,4,4
1.9457821,2.4000297,2.526718,2.3159227,2.4100351299953657,0.086504854,0.5555555555555556,4,4
2.1158562,2.4110804,2.533987,2.2907393,5.738246462784169,0.10281769,0.4444444444444444,4,4
2.0654387,2.4228482,2.4684024,2.310975,2.682634716783185,0.06486111,0.5555555555555556,4,4
2.0103486,2.4442556,2.563027,2.3389738,2.771884236184027,0.08225306,0.5555555555555556,4,4
2.1365914,2.4592352,2.698217,2.3208618,6.200071848846565,0.13496539,0.4444444444444444,4,4
2.1258724,2.4126768,2.6409397,2.2961264,6.195040996523831,0.12040452,0.4444444444444444,4,4
2.1316454,2.4141383,2.5042384,2.336321,5.613279679268535,0.058781844,0.4444444444444444,4,4
2.369654,2.4138043,2.5735776,2.3127034,16.875400403591776,0.08439201,0.2222222222222222,7,1
2.072327,2.464098,2.586774,2.2670019,2.738341293452784,0.12235842,0.5555555555555556,4,4
2.2635324,2.4425337,2.5594916,2.327876,11.72134634494613,0.082545884,0.3333333333333333,4,4
2.2807376,2.4436169,2.6054754,2.302736,11.623550681130606,0.08955677,0.3333333333333333,4,4
2.1653745,2.4303792,2.534344,2.3373063,6.24380479992701,0.069860734,0.4444444444444444,4,4
2.276641,2.4488642,2.5930293,2.271585,12.23486370060344,0.11870943,0.3333333333333333,5,3
2.2710555,2.4236503,2.5810668,2.278357,12.224373327489666,0.12050313,0.3333333333333333,5,3
